call_id,call_date,agent_id,agent_name,team,call_type,call_outcome,aht_seconds,csat_score,fcr,attendance
CALL0285,7/7/2024,AG005,Vikram Yadav,Team A,Inbound,Resolved,214,4,Yes,Late
CALL0286,7/31/2024,AG006,Pooja Jain,Team C,Outbound,Callback,270,4,No,Present
CALL0287,2/11/2024,AG010,Divya Nair,Team A,Outbound,Resolved,272,3,Yes,Present
CALL0288,9/15/2024,AG009,Karan Malhotra,Team C,Inbound,Resolved,218,4,Yes,Present
CALL0289,10/25/2024,AG004,Sneha Gupta,Team B,Outbound,Resolved,310,4,No,Present
CALL0290,8/21/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,352,5,Yes,Present
CALL0291,4/21/2024,AG001,Amit Sharma,Team A,Inbound,Resolved,268,5,Yes,Present
CALL0292,8/29/2024,AG002,Priya Singh,Team A,Inbound,Resolved,226,5,Yes,Late
CALL0293,7/10/2024,AG007,Arjun Mehta,Team C,Outbound,Resolved,414,5,Yes,Present
CALL0294,3/9/2024,AG009,Karan Malhotra,Team C,Outbound,Resolved,317,4,No,Late
CALL0295,1/12/2024,AG001,Amit Sharma,Team A,Outbound,Resolved,364,4,Yes,Present
CALL0296,8/23/2024,AG004,Sneha Gupta,Team B,Outbound,Resolved,228,5,Yes,Present
CALL0297,11/10/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,197,3,No,Present
CALL0298,5/5/2024,AG001,Amit Sharma,Team A,Inbound,Resolved,239,4,Yes,Present
CALL0299,9/14/2024,AG003,Rahul Verma,Team B,Outbound,Resolved,414,5,Yes,Present
CALL0300,5/1/2024,AG006,Pooja Jain,Team C,Outbound,Callback,269,3,No,Present
CALL0301,2/1/2024,AG005,Vikram Yadav,Team A,Inbound,Escalated,618,2,No,Present
CALL0302,11/25/2024,AG006,Pooja Jain,Team C,Outbound,Callback,181,4,No,Present
CALL0303,7/11/2024,AG005,Vikram Yadav,Team A,Inbound,Callback,221,3,No,Present
CALL0304,8/25/2024,AG003,Rahul Verma,Team B,Inbound,Resolved,286,5,No,Present
CALL0305,6/18/2024,AG004,Sneha Gupta,Team B,Inbound,Abandoned,67,,No,Present
CALL0306,1/27/2024,AG004,Sneha Gupta,Team B,Outbound,Resolved,334,5,Yes,Present
CALL0307,12/9/2024,AG010,Divya Nair,Team A,Inbound,Resolved,402,5,Yes,Absent
CALL0308,4/7/2024,AG004,Sneha Gupta,Team B,Inbound,Escalated,645,4,No,Present
CALL0309,7/22/2024,AG004,Sneha Gupta,Team B,Inbound,Resolved,378,4,Yes,Present
CALL0310,5/13/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,307,4,Yes,Present
CALL0311,4/14/2024,AG006,Pooja Jain,Team C,Outbound,Resolved,191,5,Yes,Present
CALL0312,10/10/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,230,4,Yes,Present
CALL0313,10/8/2024,AG008,Neha Patel,Team B,Outbound,Resolved,390,4,Yes,Present
CALL0314,3/27/2024,AG008,Neha Patel,Team B,Outbound,Resolved,364,4,No,Absent
CALL0315,9/25/2024,AG001,Amit Sharma,Team A,Inbound,Callback,119,5,No,Present
CALL0316,7/30/2024,AG001,Amit Sharma,Team A,Inbound,Callback,159,2,No,Present
CALL0317,9/15/2024,AG004,Sneha Gupta,Team B,Outbound,Resolved,338,5,Yes,Absent
CALL0318,1/9/2024,AG008,Neha Patel,Team B,Inbound,Resolved,285,3,Yes,Present
CALL0319,1/9/2024,AG005,Vikram Yadav,Team A,Outbound,Callback,145,2,No,Present
CALL0320,5/3/2024,AG003,Rahul Verma,Team B,Inbound,Escalated,529,3,No,Present
CALL0321,2/10/2024,AG007,Arjun Mehta,Team C,Outbound,Abandoned,78,,No,Present
CALL0322,6/2/2024,AG004,Sneha Gupta,Team B,Inbound,Escalated,416,1,No,Present
CALL0323,8/31/2024,AG009,Karan Malhotra,Team C,Inbound,Escalated,487,1,No,Present
CALL0324,10/16/2024,AG006,Pooja Jain,Team C,Inbound,Callback,110,3,No,Absent
CALL0325,8/31/2024,AG010,Divya Nair,Team A,Outbound,Resolved,199,5,Yes,Present
CALL0326,4/1/2024,AG001,Amit Sharma,Team A,Outbound,Resolved,233,5,Yes,Present
CALL0327,2/9/2024,AG007,Arjun Mehta,Team C,Outbound,Resolved,241,5,Yes,Present
CALL0328,6/18/2024,AG009,Karan Malhotra,Team C,Outbound,Callback,135,4,No,Present
CALL0329,9/13/2024,AG002,Priya Singh,Team A,Outbound,Resolved,291,4,No,Present
CALL0330,10/31/2024,AG010,Divya Nair,Team A,Outbound,Abandoned,61,,No,Present
CALL0331,8/18/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,321,5,Yes,Present
CALL0332,2/13/2024,AG007,Arjun Mehta,Team C,Outbound,Callback,282,2,No,Present
CALL0333,12/30/2024,AG007,Arjun Mehta,Team C,Inbound,Escalated,562,2,No,Present
CALL0334,8/15/2024,AG005,Vikram Yadav,Team A,Outbound,Callback,126,2,No,Present
CALL0335,10/12/2024,AG008,Neha Patel,Team B,Outbound,Resolved,202,4,No,Present
CALL0336,7/16/2024,AG006,Pooja Jain,Team C,Inbound,Resolved,279,5,Yes,Present
CALL0337,10/19/2024,AG004,Sneha Gupta,Team B,Inbound,Escalated,486,1,No,Present
CALL0338,3/15/2024,AG008,Neha Patel,Team B,Inbound,Resolved,250,4,Yes,Present
CALL0339,5/6/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,230,4,No,Present
CALL0340,6/19/2024,AG007,Arjun Mehta,Team C,Outbound,Callback,184,3,No,Present
CALL0341,3/10/2024,AG010,Divya Nair,Team A,Outbound,Resolved,357,4,Yes,Late
CALL0342,5/29/2024,AG006,Pooja Jain,Team C,Outbound,Abandoned,51,,No,Present
CALL0343,7/20/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,324,4,Yes,Present
CALL0344,1/14/2024,AG009,Karan Malhotra,Team C,Outbound,Abandoned,46,,No,Present
CALL0345,12/20/2024,AG005,Vikram Yadav,Team A,Inbound,Callback,204,4,No,Present
CALL0346,5/3/2024,AG005,Vikram Yadav,Team A,Outbound,Escalated,616,3,No,Present
CALL0347,9/2/2024,AG010,Divya Nair,Team A,Outbound,Resolved,416,5,Yes,Present
CALL0348,12/25/2024,AG006,Pooja Jain,Team C,Inbound,Resolved,243,5,Yes,Present
CALL0349,10/15/2024,AG001,Amit Sharma,Team A,Outbound,Abandoned,62,,No,Late
CALL0350,2/24/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,236,4,Yes,Present
CALL0351,4/23/2024,AG010,Divya Nair,Team A,Outbound,Resolved,298,5,Yes,Present
CALL0352,1/13/2024,AG006,Pooja Jain,Team C,Outbound,Resolved,286,5,No,Present
CALL0353,6/27/2024,AG003,Rahul Verma,Team B,Outbound,Resolved,380,4,Yes,Present
CALL0354,12/22/2024,AG008,Neha Patel,Team B,Outbound,Resolved,256,3,Yes,Present
CALL0355,11/27/2024,AG006,Pooja Jain,Team C,Inbound,Escalated,484,4,No,Present
CALL0356,3/30/2024,AG009,Karan Malhotra,Team C,Inbound,Resolved,289,5,Yes,Present
CALL0357,4/5/2024,AG003,Rahul Verma,Team B,Outbound,Resolved,368,5,No,Present
CALL0358,1/3/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,372,5,Yes,Present
CALL0359,4/5/2024,AG009,Karan Malhotra,Team C,Outbound,Resolved,297,3,Yes,Present
CALL0360,11/1/2024,AG006,Pooja Jain,Team C,Outbound,Escalated,700,1,No,Present
CALL0361,11/12/2024,AG008,Neha Patel,Team B,Inbound,Callback,280,4,No,Absent
CALL0362,2/13/2024,AG010,Divya Nair,Team A,Inbound,Resolved,241,4,No,Present
CALL0363,7/17/2024,AG009,Karan Malhotra,Team C,Outbound,Resolved,327,4,No,Present
CALL0364,10/11/2024,AG003,Rahul Verma,Team B,Inbound,Resolved,215,4,Yes,Present
CALL0365,1/5/2024,AG006,Pooja Jain,Team C,Outbound,Resolved,388,4,Yes,Present
CALL0366,12/16/2024,AG007,Arjun Mehta,Team C,Outbound,Resolved,395,4,No,Present
CALL0367,5/29/2024,AG004,Sneha Gupta,Team B,Inbound,Resolved,317,4,Yes,Present
CALL0368,10/8/2024,AG008,Neha Patel,Team B,Inbound,Resolved,248,5,Yes,Present
CALL0369,8/13/2024,AG001,Amit Sharma,Team A,Inbound,Abandoned,33,,No,Present
CALL0370,6/1/2024,AG004,Sneha Gupta,Team B,Inbound,Resolved,269,5,No,Present
CALL0371,5/1/2024,AG002,Priya Singh,Team A,Inbound,Callback,250,4,No,Present
CALL0372,11/19/2024,AG010,Divya Nair,Team A,Outbound,Resolved,215,5,Yes,Present
CALL0373,6/28/2024,AG010,Divya Nair,Team A,Outbound,Resolved,223,4,Yes,Present
CALL0374,9/20/2024,AG005,Vikram Yadav,Team A,Inbound,Resolved,372,5,Yes,Late
CALL0375,12/25/2024,AG003,Rahul Verma,Team B,Inbound,Resolved,362,4,Yes,Present
CALL0376,9/7/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,248,5,Yes,Present
CALL0377,7/25/2024,AG002,Priya Singh,Team A,Outbound,Escalated,588,2,No,Present
CALL0378,1/2/2024,AG010,Divya Nair,Team A,Inbound,Escalated,634,3,No,Present
CALL0379,9/30/2024,AG002,Priya Singh,Team A,Outbound,Resolved,289,5,Yes,Present
CALL0380,6/21/2024,AG005,Vikram Yadav,Team A,Inbound,Resolved,304,5,Yes,Present
CALL0381,2/20/2024,AG001,Amit Sharma,Team A,Outbound,Resolved,417,5,Yes,Present
CALL0382,4/13/2024,AG007,Arjun Mehta,Team C,Inbound,Callback,177,2,No,Absent
CALL0383,2/17/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,275,5,Yes,Present
CALL0384,12/24/2024,AG005,Vikram Yadav,Team A,Inbound,Resolved,203,5,No,Present
CALL0385,10/30/2024,AG003,Rahul Verma,Team B,Inbound,Resolved,293,3,Yes,Present
CALL0386,12/21/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,238,4,Yes,Present
CALL0387,7/7/2024,AG006,Pooja Jain,Team C,Outbound,Resolved,378,5,Yes,Present
CALL0388,2/5/2024,AG003,Rahul Verma,Team B,Inbound,Escalated,484,2,No,Present
CALL0389,7/29/2024,AG003,Rahul Verma,Team B,Outbound,Callback,122,5,No,Present
CALL0390,10/28/2024,AG002,Priya Singh,Team A,Outbound,Resolved,289,4,No,Present
CALL0391,5/7/2024,AG002,Priya Singh,Team A,Outbound,Callback,276,2,No,Present
CALL0392,4/15/2024,AG005,Vikram Yadav,Team A,Inbound,Escalated,551,3,No,Present
CALL0393,9/10/2024,AG004,Sneha Gupta,Team B,Outbound,Resolved,307,5,No,Absent
CALL0394,7/3/2024,AG001,Amit Sharma,Team A,Outbound,Resolved,400,5,Yes,Present
CALL0395,8/29/2024,AG003,Rahul Verma,Team B,Inbound,Resolved,197,3,Yes,Absent
CALL0396,9/16/2024,AG007,Arjun Mehta,Team C,Outbound,Escalated,656,3,No,Present
CALL0397,2/12/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,259,3,Yes,Late
CALL0398,10/1/2024,AG003,Rahul Verma,Team B,Outbound,Resolved,342,5,Yes,Present
CALL0399,12/23/2024,AG005,Vikram Yadav,Team A,Outbound,Escalated,522,1,No,Present
CALL0400,2/29/2024,AG007,Arjun Mehta,Team C,Outbound,Escalated,428,2,No,Present
CALL0401,3/2/2024,AG003,Rahul Verma,Team B,Inbound,Escalated,405,1,No,Late
CALL0402,9/21/2024,AG009,Karan Malhotra,Team C,Outbound,Resolved,212,5,Yes,Present
CALL0403,1/16/2024,AG002,Priya Singh,Team A,Outbound,Callback,169,3,No,Present
CALL0404,11/17/2024,AG010,Divya Nair,Team A,Inbound,Resolved,310,4,Yes,Present
CALL0405,3/21/2024,AG006,Pooja Jain,Team C,Outbound,Callback,246,4,No,Present
CALL0406,1/2/2024,AG009,Karan Malhotra,Team C,Inbound,Callback,103,3,No,Present
CALL0407,3/17/2024,AG007,Arjun Mehta,Team C,Inbound,Abandoned,24,,No,Present
CALL0408,4/24/2024,AG007,Arjun Mehta,Team C,Outbound,Resolved,414,5,Yes,Present
CALL0409,3/2/2024,AG006,Pooja Jain,Team C,Inbound,Resolved,385,4,No,Present
CALL0410,5/24/2024,AG008,Neha Patel,Team B,Outbound,Resolved,321,4,Yes,Present
CALL0411,11/14/2024,AG005,Vikram Yadav,Team A,Inbound,Resolved,331,5,Yes,Present
CALL0412,5/5/2024,AG009,Karan Malhotra,Team C,Inbound,Resolved,284,3,Yes,Present
CALL0413,6/20/2024,AG001,Amit Sharma,Team A,Inbound,Callback,196,4,No,Present
CALL0414,4/15/2024,AG002,Priya Singh,Team A,Inbound,Resolved,195,5,No,Present
CALL0415,4/28/2024,AG001,Amit Sharma,Team A,Outbound,Escalated,590,2,No,Present
CALL0416,2/18/2024,AG010,Divya Nair,Team A,Inbound,Escalated,601,1,No,Present
CALL0417,12/5/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,246,5,Yes,Present
CALL0418,6/11/2024,AG006,Pooja Jain,Team C,Outbound,Resolved,199,5,No,Present
CALL0419,3/20/2024,AG002,Priya Singh,Team A,Inbound,Resolved,299,4,No,Present
CALL0420,8/19/2024,AG004,Sneha Gupta,Team B,Outbound,Resolved,398,3,No,Present
CALL0421,1/21/2024,AG010,Divya Nair,Team A,Inbound,Callback,183,2,No,Present
CALL0422,7/21/2024,AG006,Pooja Jain,Team C,Inbound,Escalated,533,3,No,Present
CALL0423,8/19/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,206,5,No,Present
CALL0424,3/7/2024,AG004,Sneha Gupta,Team B,Inbound,Callback,195,4,No,Absent
CALL0425,10/25/2024,AG002,Priya Singh,Team A,Outbound,Abandoned,29,,No,Present
CALL0426,4/11/2024,AG002,Priya Singh,Team A,Outbound,Callback,123,5,No,Present
CALL0427,3/3/2024,AG006,Pooja Jain,Team C,Inbound,Abandoned,26,,No,Present
CALL0428,8/9/2024,AG010,Divya Nair,Team A,Outbound,Resolved,277,5,No,Present
CALL0429,5/20/2024,AG003,Rahul Verma,Team B,Outbound,Resolved,218,3,Yes,Present
CALL0430,9/12/2024,AG005,Vikram Yadav,Team A,Outbound,Callback,222,2,No,Present
CALL0431,8/2/2024,AG003,Rahul Verma,Team B,Inbound,Escalated,669,1,No,Late
CALL0432,1/10/2024,AG009,Karan Malhotra,Team C,Outbound,Callback,191,3,No,Present
CALL0433,10/16/2024,AG006,Pooja Jain,Team C,Outbound,Resolved,226,3,Yes,Present
CALL0434,1/30/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,376,5,Yes,Present
CALL0435,12/2/2024,AG004,Sneha Gupta,Team B,Inbound,Resolved,388,5,Yes,Present
CALL0436,10/21/2024,AG004,Sneha Gupta,Team B,Outbound,Resolved,394,5,No,Present
CALL0437,12/23/2024,AG006,Pooja Jain,Team C,Outbound,Abandoned,23,,No,Present
CALL0438,10/17/2024,AG006,Pooja Jain,Team C,Inbound,Resolved,228,5,Yes,Late
CALL0439,6/7/2024,AG009,Karan Malhotra,Team C,Inbound,Resolved,203,3,Yes,Present
CALL0440,1/1/2024,AG008,Neha Patel,Team B,Outbound,Abandoned,45,,No,Present
CALL0441,3/31/2024,AG006,Pooja Jain,Team C,Outbound,Resolved,217,5,Yes,Present
CALL0442,7/5/2024,AG009,Karan Malhotra,Team C,Inbound,Resolved,349,4,No,Present
CALL0443,3/21/2024,AG003,Rahul Verma,Team B,Outbound,Callback,224,4,No,Present
CALL0444,12/21/2024,AG009,Karan Malhotra,Team C,Outbound,Resolved,330,5,Yes,Present
CALL0445,3/6/2024,AG005,Vikram Yadav,Team A,Inbound,Escalated,693,2,No,Late
CALL0446,1/17/2024,AG010,Divya Nair,Team A,Inbound,Escalated,513,3,No,Present
CALL0447,3/13/2024,AG008,Neha Patel,Team B,Outbound,Escalated,521,2,No,Present
CALL0448,12/28/2024,AG002,Priya Singh,Team A,Outbound,Resolved,247,4,Yes,Present
CALL0449,1/1/2024,AG002,Priya Singh,Team A,Inbound,Resolved,367,4,No,Present
CALL0450,6/28/2024,AG007,Arjun Mehta,Team C,Outbound,Resolved,302,5,Yes,Present
CALL0451,3/24/2024,AG004,Sneha Gupta,Team B,Outbound,Resolved,396,3,No,Present
CALL0452,2/7/2024,AG002,Priya Singh,Team A,Outbound,Resolved,276,4,No,Late
CALL0453,6/22/2024,AG002,Priya Singh,Team A,Outbound,Escalated,620,4,No,Present
CALL0454,3/21/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,232,5,Yes,Present
CALL0455,5/15/2024,AG009,Karan Malhotra,Team C,Outbound,Resolved,204,3,Yes,Present
CALL0456,1/28/2024,AG003,Rahul Verma,Team B,Outbound,Resolved,202,4,Yes,Present
CALL0457,2/19/2024,AG004,Sneha Gupta,Team B,Inbound,Resolved,343,4,No,Present
CALL0458,7/22/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,349,4,Yes,Present
CALL0459,7/14/2024,AG006,Pooja Jain,Team C,Outbound,Resolved,191,4,Yes,Present
CALL0460,10/15/2024,AG005,Vikram Yadav,Team A,Inbound,Resolved,358,5,No,Present
CALL0461,7/30/2024,AG009,Karan Malhotra,Team C,Inbound,Resolved,395,4,Yes,Late
CALL0462,10/20/2024,AG008,Neha Patel,Team B,Inbound,Resolved,200,4,Yes,Present
CALL0463,9/21/2024,AG010,Divya Nair,Team A,Inbound,Resolved,373,4,Yes,Present
CALL0464,4/8/2024,AG004,Sneha Gupta,Team B,Inbound,Resolved,200,5,Yes,Late
CALL0465,10/31/2024,AG003,Rahul Verma,Team B,Outbound,Resolved,366,5,No,Present
CALL0466,10/9/2024,AG007,Arjun Mehta,Team C,Outbound,Callback,233,3,No,Present
CALL0467,10/27/2024,AG010,Divya Nair,Team A,Outbound,Resolved,218,3,Yes,Present
CALL0468,2/24/2024,AG002,Priya Singh,Team A,Inbound,Callback,237,5,No,Present
CALL0469,7/15/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,301,3,Yes,Present
CALL0470,12/14/2024,AG010,Divya Nair,Team A,Outbound,Resolved,407,5,Yes,Present
CALL0471,5/17/2024,AG008,Neha Patel,Team B,Outbound,Resolved,389,5,Yes,Present
CALL0472,4/26/2024,AG002,Priya Singh,Team A,Inbound,Resolved,370,4,Yes,Present
CALL0473,11/5/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,234,5,Yes,Present
CALL0474,7/10/2024,AG009,Karan Malhotra,Team C,Inbound,Resolved,220,3,Yes,Present
CALL0475,10/18/2024,AG009,Karan Malhotra,Team C,Inbound,Resolved,404,5,Yes,Present
CALL0476,1/26/2024,AG008,Neha Patel,Team B,Outbound,Escalated,540,2,No,Present
CALL0477,11/21/2024,AG007,Arjun Mehta,Team C,Inbound,Escalated,523,2,No,Present
CALL0478,8/30/2024,AG003,Rahul Verma,Team B,Outbound,Resolved,394,5,Yes,Present
CALL0479,1/15/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,398,5,Yes,Present
CALL0480,12/12/2024,AG004,Sneha Gupta,Team B,Inbound,Resolved,284,4,Yes,Late
CALL0481,8/30/2024,AG001,Amit Sharma,Team A,Inbound,Escalated,404,1,No,Present
CALL0482,12/30/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,276,5,Yes,Present
CALL0483,12/12/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,181,4,Yes,Present
CALL0484,10/14/2024,AG006,Pooja Jain,Team C,Outbound,Resolved,207,4,Yes,Present
CALL0485,5/21/2024,AG006,Pooja Jain,Team C,Outbound,Escalated,552,1,No,Present
CALL0486,1/30/2024,AG004,Sneha Gupta,Team B,Outbound,Escalated,471,3,No,Present
CALL0487,5/12/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,368,3,Yes,Present
CALL0488,6/24/2024,AG004,Sneha Gupta,Team B,Inbound,Escalated,643,4,No,Present
CALL0489,6/2/2024,AG009,Karan Malhotra,Team C,Inbound,Callback,242,2,No,Present
CALL0490,5/12/2024,AG003,Rahul Verma,Team B,Inbound,Abandoned,62,,No,Present
CALL0491,6/30/2024,AG004,Sneha Gupta,Team B,Inbound,Escalated,557,2,No,Absent
CALL0492,5/13/2024,AG006,Pooja Jain,Team C,Outbound,Resolved,210,4,Yes,Present
CALL0493,2/6/2024,AG010,Divya Nair,Team A,Outbound,Callback,228,2,No,Present
CALL0494,6/1/2024,AG009,Karan Malhotra,Team C,Outbound,Resolved,398,4,Yes,Present
CALL0495,8/22/2024,AG010,Divya Nair,Team A,Inbound,Resolved,363,4,No,Present
CALL0496,6/9/2024,AG003,Rahul Verma,Team B,Inbound,Resolved,250,4,Yes,Present
CALL0497,9/7/2024,AG003,Rahul Verma,Team B,Inbound,Resolved,291,5,Yes,Late
CALL0498,1/3/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,367,4,No,Present
CALL0499,4/7/2024,AG009,Karan Malhotra,Team C,Inbound,Escalated,527,1,No,Present
CALL0500,3/7/2024,AG005,Vikram Yadav,Team A,Inbound,Resolved,330,4,No,Present
